Date,Dividends
2019-04-23 00:00:00-04:00,0.732
2019-05-20 00:00:00-04:00,1.451
2021-01-14 00:00:00-05:00,2.237
2021-03-15 00:00:00-04:00,0.116
2021-04-19 00:00:00-04:00,0.383
2022-04-19 00:00:00-04:00,1.122
2023-04-24 00:00:00-04:00,1.473
2024-04-22 00:00:00-04:00,1.652
2025-04-22 00:00:00-04:00,0.736
