Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-05-01 00:00:00-04:00,37.630970054785735,40.88666308717003,37.41413017435322,38.430179595947266,560369100,0.18,0.0
2020-06-01 00:00:00-04:00,38.40632811502774,38.708128053601015,36.40573919234418,37.267578125,557556600,0.0,0.0
2020-07-01 00:00:00-04:00,37.16490667143569,41.732347903894706,36.78221249511914,40.260684967041016,592356300,0.0,0.0
2020-08-01 00:00:00-04:00,40.41935986280069,43.89161145712596,39.909102212156306,43.20089340209961,690025200,0.18,0.0
2020-09-01 00:00:00-04:00,44.112668395189324,47.27740910070422,42.09760880311575,43.70965576171875,805971600,0.0,0.0
2020-10-01 00:00:00-04:00,43.987710342484505,45.799705006522004,42.91613465620243,43.34726333618164,386985000,0.0,0.0
2020-11-01 00:00:00-04:00,43.92210185605849,47.92410531696099,43.434737624749246,47.73353576660156,413800500,0.0,0.0
2020-12-01 00:00:00-05:00,47.986583650505494,48.00532883849814,44.45632095154895,45.03428268432617,511105500,0.18,0.0
2021-01-01 00:00:00-05:00,45.24593633988825,47.01124942375802,44.007396380550034,44.05129623413086,450488700,0.0,0.0
2021-02-01 00:00:00-05:00,44.18297625710761,46.24930095165746,40.71819725073203,40.73701095581055,554999400,0.0,0.0
2021-03-01 00:00:00-05:00,41.25752139453795,43.14198550964808,39.595681989832514,42.59012985229492,739644300,0.183333,0.0
2021-04-01 00:00:00-04:00,42.80258355453652,44.638242496555,42.61051884560961,44.05259323120117,459365700,0.0,0.0
2021-05-01 00:00:00-04:00,43.980178554518396,45.52300931144256,42.745911786980855,44.72010803222656,524333400,0.183333,0.0
2021-06-01 00:00:00-04:00,44.95261827062989,45.13911747969451,42.48387591338552,44.57646179199219,507321000,0.0,0.0
2021-07-01 00:00:00-04:00,44.38364230341126,45.47418976645067,43.69138309253992,45.060096740722656,395649300,0.0,0.0
2021-08-01 00:00:00-04:00,45.148606987518995,48.22742327242499,44.78192827155233,46.814456939697266,544199400,0.183333,0.0
